Wydawnictwo;Prestiz
Academic Press;2
Bloomsbury Publishing;2
Brepols Publishers;2
Cambridge University Press;2
Columbia University Press;2
Cornell University Press;2
Duke University Press;2
Brill;2
Edward Elgar Publishing;2
Equinox Publishing;2
Harrassowitz Verlag;2
Harvard University Press;2
Intellect (Bristol, United Kingdom);2
John Benjamins Publishing Company;2
Johns Hopkins University Press;2
MIT Press;2
Mohr Siebeck;2
Oxford University Press;2
Peeters Publishers;2
Princeton University Press;2
Routledge;2
SAGE Publications;2
Stanford University Press;2
Franz Steiner Verlag;2
T&T Clark;2
Taylor & Francis Group;2
University of California Press;2
University of British Columbia Press;2
University of Chicago Press;2
Edinburgh University Press;2
University of Michigan Press;2
University of Minnesota Press;2
University of North Carolina Press;2
Vandenhoeck & Ruprecht Verlag;2
Wiley-Blackwell;2
Yale University;2
AACC International;1
Åbo Akademi;1
Academia;1
Acta Energetica;1
Æ Academic Publishing;1
Akademia Finansów i Biznesu Vistula;1
Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie;1
Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku;1
Akademia Ignatianum w Krakowie;1
Akademia im. Jakuba z Paradyża w Gorzowie Wielkopolskim;1
Akademia Leona Koźmińskiego w Warszawie;1
Akademia Marynarki Wojennej im. Bohaterów Westerplatte;1
Akademia Morska w Szczecinie;1
Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy;1
Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi;1
Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu;1
Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu;1
Akademia Muzyczna im. Karola Szymanowskiego w Katowicach;1
Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku;1
Akademia Muzyczna w Krakowie;1
Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie;1
Akademia Pomorska w Słupsku;1
Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu;1
Akademia Sztuk Pięknych im. Jana Matejki w Krakowie;1
Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi;1
Akademia Sztuk Pięknych w Gdańsku;1
Akademia Sztuk Pięknych w Katowicach;1
Akademia Sztuk Pięknych w Warszawie;1
Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie;1
Akademia Sztuki w Szczecinie;1
Akademia Sztuki Wojennej;1
Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie;1
Akademia Techniczno-Humanistyczna w Bielsku-Białej;1
Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki;1
Akademia WSB;1
Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku;1
Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie;1
Akademia Wychowania Fizycznego im. Eugeniusza Piaseckiego w Poznaniu;1
Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach;1
Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie;1
Akademia Wychowania Fizycznego we Wrocławiu;1
Akadémiai Kiadó;1
Akademicka Oficyna Wydawnicza Exit;1
Akademie věd České republiky;1
Alfa d.d. (Zagreb, Hrvatska);1
AltaMira Press;1
American Chemical Society;1
American Geophysical Union;1
American Institute of Physics;1
American Mathematical Society;1
American Physical Society;1
American Psychological Association;1
American School of Classical Studies at Athens;1
American Schools of Oriental Research;1
American Society of Civil Engineers;1
American Society of Mechanical Engineers;1
Amsterdam University Press;1
Anthem Press;1
AOCS Press;1
Arcana;1
Archaeopress;1
Archiwum Główne Akt Dawnych;1
Association for Computing Machinery (ACM);1
AT Wydawnictwo;1
Atlantis Press;1
Bärenreiter-Verlag;1
Bayerische Akademie der Wissenschaften;1
Baylor University Press;1
Berghahn Books;1
Bialik Institute;1
Birkhäuser Verlag;1
Bogucki Wydawnictwo Naukowe;1
Böhlau Verlag;1
Bonus Liber Sp. z o.o.;1
Boydell & Brewer;1
Brookings Institution Press;1
Büchner-Verlag eG;1
Butterworth-Heinemann;1
Campidoglio;1
CeDeWu;1
Central European University Press;1
Centralne Muzeum Jeńców Wojennych;1
Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy;1
Centro italiano di studi sull'alto medioevo;1
Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk;1
Centrum Badań Kosmicznych Polskiej Akademii Nauk;1
Centrum Badań Molekularnych i Makromolekularnych Polskiej Akademii Nauk;1
Centrum Europejskie Natolin;1
Centrum Fizyki Teoretycznej Polskiej Akademii Nauk;1
Centrum Materiałów Polimerowych i Węglowych Polskiej Akademii Nauk;1
Centrum Myśli Strategicznych;1
Centrum Naukowo-Badawcze Ochrony Przeciwpożarowej im. Józefa Tuliszkowskiego - Państwowy Instytut Badawczy;1
Centrum Polsko-Rosyjskiego Dialogu i Porozumienia;1
Centrum Sztuki Współczesnej ŁAŹNIA;1
Chandos Publishing;1
Channel View Publications;1
Chrześcijańska Akademia Teologiczna w Warszawie;1
Collegium Civitas;1
Collegium Columbinum;1
Consejo superior de investigaciones científicas;1
Copernicus Center Press;1
CRC Press / Balkema;1
Currenda;1
"Częstochowskie Wydawnictwo Archidiecezjalne ""Regina Poloniae""";1
De Gruyter;1
Difin;1
Djøf Forlag;1
Dom Wydawniczy i Handlowy Elipsa;1
École des hautes études en sciences sociales;1
École française de Rome;1
edition lumière;1
Edition Open Access;1
Éditions de Boccard;1
Éditions de la Sorbonne;1
Éditions du Cerf;1
Éditions l'Harmattan;1
Éditions Safran;1
Editori Laterza;1
Editrice Pontificia Università Gregoriana;1
Edizioni della Normale;1
Edizioni Ennerre;1
Edra Urban & Partner;1
edu-Libri s.c.;1
Edycja Świętego Pawła;1
Einaudi Bologna;1
Eisenbrauns;1
Elsevier;1
Emerald Publishing;1
ENETEIA Wydawnictwo Szkolenia;1
Europa Law Publishing;1
European Mathematical Society;1
Europejskie Centrum Solidarności;1
Europejskie Regionalne Centrum Ekohydrologii Polskiej Akademii Nauk;1
Evereth Publishing Sp. z o.o.;1
Facet Publishing;1
Ferdinand Schöningh;1
fibre Verlag, Osnabrück;1
Fordham University Press;1
frommann-holzboog Verlag e.K.;1
Fundacja Augusta hr. Cieszkowskiego;1
Fundacja Centrum Badań Socjologicznych;1
Fundacja Generał Elżbiety Zawackiej;1
Fundacja Instytut Spraw Publicznych;1
Fundacja Kultura Miejsca;1
Fundacja Terytoria Książki;1
"Fundacja Upowszechniająca Wiedzę i Naukę ""Cognitione""";1
GAJT Wydawnictwo 1991 s.c.;1
Gallimard;1
Gdański Uniwersytet Medyczny;1
Gdańskie Wydawnictwo Psychologiczne;1
Georg Olms AG;1
Georgetown University Press;1
Główny Instytut Górnictwa;1
Główny Urząd Statystyczny;1
Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego;1
Grupa Wydawnicza Harmonia (Harmonia Universalis);1
Gulf Professional Publishing;1
Hart Publishing;1
Helsingin yliopisto;1
Hendrickson Publishers;1
HOST;1
Hrvatska akademija znanosti i umjetnosti;1
Humana Press;1
Imperial College London;1
Imprensa da Universidade de Coimbra;1
Indiana University Bloomington;1
Information Age Publishing;1
INFORT EDITIONS;1
Innovatio Press, Wydawnictwo Naukowe;1
Institut für Volksmusikforschung und Ethnomusikologie;1
Institute of Electrical and Electronics Engineers (IEEE);1
Instytut Agrofizyki im. Bohdana Dobrzańskiego Polskiej Akademii Nauk;1
Instytut Archeologii i Etnologii Polskiej Akademii Nauk;1
Instytut Badań Edukacyjnych;1
Instytut Badań Gospodarczych;1
Instytut Badań Literackich Polskiej Akademii Nauk;1
Instytut Badań nad Dziedzictwem Kulturowym Europy;1
Instytut Badań Systemowych Polskiej Akademii Nauk;1
Instytut Badawczy Dróg i Mostów;1
Instytut Badawczy Leśnictwa;1
Instytut Biochemii i Biofizyki Polskiej Akademii Nauk;1
Instytut Biocybernetyki i Inżynierii Biomedycznej im. Macieja Nałęcza Polskiej Akademii Nauk;1
Instytut Biologii Doświadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk;1
Instytut Biologii Medycznej Polskiej Akademii Nauk;1
Instytut Biologii Ssaków Polskiej Akademii Nauk;1
Instytut Botaniki im. Władysława Szafera Polskiej Akademii Nauk;1
Instytut Budownictwa Wodnego Polskiej Akademii Nauk;1
Instytut Chemicznej Przeróbki Węgla;1
Instytut Chemii Bioorganicznej Polskiej Akademii Nauk;1
Instytut Chemii Fizycznej Polskiej Akademii Nauk;1
Instytut Chemii i Techniki Jądrowej;1
Instytut Chemii Organicznej Polskiej Akademii Nauk;1
Instytut Dendrologii Polskiej Akademii Nauk;1
Instytut Ekonomiki Rolnictwa i Gospodarki Żywnościowej - Państwowy Instytut Badawczy;1
Instytut Elektrotechniki;1
Instytut Europy Środkowej;1
Instytut Farmakologii Polskiej Akademii Nauk;1
Instytut Filozofii i Socjologii Polskiej Akademii Nauk;1
Instytut Fizjologii i Żywienia Zwierząt im. Jana Kielanowskiego Polskiej Akademii Nauk;1
Instytut Fizjologii Roślin im. Franciszka Górskiego Polskiej Akademii Nauk;1
Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk;1
Instytut Fizyki Molekularnej Polskiej Akademii Nauk;1
Instytut Fizyki Polskiej Akademii Nauk;1
Instytut Genetyki Człowieka Polskiej Akademii Nauk;1
Instytut Genetyki i Hodowli Zwierząt Polskiej Akademii Nauk;1
Instytut Genetyki Roślin Polskiej Akademii Nauk;1
Instytut Geodezji i Kartografii;1
Instytut Geofizyki Polskiej Akademii Nauk;1
Instytut Geografii i Przestrzennego Zagospodarowania im. Stanisława Leszczyckiego Polskiej Akademii Nauk;1
Instytut Gospodarki Surowcami Mineralnymi i Energią Polskiej Akademii Nauk;1
Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk;1
Instytut Historii Nauki im. Ludwika i Aleksandra Birkenmajerów Polskiej Akademii Nauk;1
Instytut im. Oskara Kolberga;1
Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda Polskiej Akademii Nauk;1
Instytut Informatyki Teoretycznej i Stosowanej Polskiej Akademii Nauk;1
Instytut Inżynierii Chemicznej Polskiej Akademii Nauk;1
Instytut Języka Polskiego Polskiej Akademii Nauk;1
Instytut Kaszubski;1
Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera Polskiej Akademii Nauk;1
Instytut Kultur Śródziemnomorskich i Orientalnych Polskiej Akademii Nauk;1
Instytut Kultury Popularnej;1
Instytut Kultury Regionalnej i Badań Literackich im. Franciszka Karpińskiego. Stowarzyszenie;1
Instytut Literatury;1
Instytut Lotnictwa;1
Instytut Maszyn Przepływowych im. Roberta Szewalskiego Polskiej Akademii Nauk;1
Instytut Matematyczny Polskiej Akademii Nauk;1
Instytut Mechaniki Górotworu Polskiej Akademii Nauk;1
Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego Polskiej Akademii Nauk;1
Instytut Medycyny Pracy im. prof. dr. med. J. Nofera;1
Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk;1
Instytut Metalurgii Żelaza im. Stanisława Staszica;1
Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy;1
Instytut Myśli Józefa Tischnera;1
Instytut Nafty i Gazu - Państwowy Instytut Badawczy;1
Instytut Nauk Ekonomicznych Polskiej Akademii Nauk;1
Instytut Nauk Geologicznych Polskiej Akademii Nauk;1
Instytut Nauk Prawnych Polskiej Akademii Nauk;1
Instytut Naukowo-Wydawniczy Spatium;1
Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk;1
Instytut Oceanologii Polskiej Akademii Nauk;1
Instytut Ochrony Przyrody Polskiej Akademii Nauk;1
Instytut Ochrony Roślin - Państwowy Instytut Badawczy;1
Instytut Ochrony Środowiska - Państwowy Instytut Badawczy;1
Instytut Odlewnictwa;1
Instytut Ogrodnictwa;1
Instytut Paleobiologii im. Romana Kozłowskiego Polskiej Akademii Nauk;1
Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni Przeciwko Narodowi Polskiemu;1
Instytut Parazytologii im. Witolda Stefańskiego Polskiej Akademii Nauk;1
Instytut Podstaw Informatyki Polskiej Akademii Nauk;1
Instytut Podstaw Inżynierii Środowiska Polskiej Akademii Nauk;1
Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk;1
Instytut Pojazdów Szynowych TABOR;1
Instytut Pracy i Spraw Socjalnych;1
Instytut Prawa Gospodarczego Sp. z o.o.;1
Instytut Psychiatrii i Neurologii;1
Instytut Psychologii Polskiej Akademii Nauk;1
Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk;1
Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk;1
Instytut Rybactwa Śródlądowego im. Stanisława Sakowicza;1
Instytut Slawistyki Polskiej Akademii Nauk;1
Instytut Solidarności i Męstwa im. Witolda Pileckiego;1
Instytut Statystyki Kościoła Katolickiego SAC;1
Instytut Studiów Politycznych Polskiej Akademii Nauk;1
Instytut Systematyki i Ewolucji Zwierząt Polskiej Akademii Nauk;1
Instytut Sztuki Polskiej Akademii Nauk;1
Instytut Środowiska Rolniczego i Leśnego Polskiej Akademii Nauk;1
Instytut Teatralny im. Zbigniewa Raszewskiego;1
Instytut Techniczny Wojsk Lotniczych;1
Instytut Techniki Budowlanej;1
Instytut Techniki Górniczej KOMAG;1
Instytut Technologiczno-Przyrodniczy;1
Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy;1
Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy;1
Instytut Wydawniczy EuroPrawo;1
Instytut Wydawniczy Książka i Prasa;1
Instytut Wymiaru Sprawiedliwości;1
Instytut Wysokich Ciśnień Polskiej Akademii Nauk;1
Instytut Zachodni im. Zygmunta Wojciechowskiego;1
Instytut Zootechniki Państwowy Instytut Badawczy;1
Intersentia Ltd;1
IOP Publishing;1
IOS Press;1
IRSA;1
Island Press;1
Jan Thorbecke Verlag;1
John Wiley & Sons;1
Jyväskylän yliopisto;1
Kaliskie Towarzystwo Przyjaciół Nauk;1
Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie;1
Kieleckie Towarzystwo Naukowe;1
Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten;1
Instytut Rozwoju Miast i Regionów;1
Krakowski Instytut Prawa Karnego;1
Książnica Pomorska;1
Księgarnia Akademicka;1
Księgarnia św. Jacka;1
Kujawsko-Pomorska Szkoła Wyższa w Bydgoszczy;1
Language Science Press;1
Lavoisier;1
Leiden University Press;1
Leipziger Universitätsverlag;1
L'Erma di Bretschneider;1
Les Belles Lettres;1
Lexxion;1
LIBER PRO ARTE;1
Liverpool University Press;1
Logos Verlag Berlin;1
Lotnicza Akademia Wojskowa;1
Macmillan Publishers;1
Magnolia Press;1
Magyar Tudományos Akadémia;1
Manchester University Press;1
Mathematical Association of America;1
McGill-Queen's University Press;1
Medical Education;1
Medical Tribune Polska;1
Medycyna Praktyczna;1
Medyk Sp. z o.o.;1
Międzynarodowe Centrum Kultury;1
